method,fold_id,poisson_deviance,weighted_mse_rate,mae_total,calibration_ratio,n_test
baseline,fold_1,0.029900077090559498,2.5023637111732535,0.045581663606158895,1.0037174938913511,8416
baseline+olqd,fold_1,0.029951337916551603,2.504982350027793,0.04565270492772138,1.0038378432261952,8416
baseline,fold_2,0.030286384280009297,2.449377822307611,0.0463034803673074,0.9951740875475972,8414
baseline+olqd,fold_2,0.030337403801804864,2.454788358666732,0.046333589050918104,0.994541954323582,8414
baseline,fold_3,0.030660165408034453,2.6638676316731615,0.04563375304562142,0.9797665591722348,8384
baseline+olqd,fold_3,0.030687814059277636,2.6665193376018217,0.04563103719913064,0.9774171657413372,8384
baseline,fold_4,0.029435743527341934,2.3624657831624476,0.045988056165908675,1.0137489804282058,8384
baseline+olqd,fold_4,0.029482487686635465,2.3675770257595325,0.04600074769787582,1.0152246310623825,8384
baseline,fold_5,0.02916856994182731,2.4555743794092058,0.04523989007042832,0.9997282139005165,8384
baseline+olqd,fold_5,0.029201911091979383,2.4593639382246857,0.04533014714261694,1.0007725177728957,8384
