team,line1_strength_xg60,line2_strength_xg60,olqd_ratio,olqd_log_ratio,olqd_gap_xg60,points,rank
guatemala,0.008078926625507524,0.005894631608044639,1.3704938101088942,0.3151711202301786,0.0021842950174628855,92,13
usa,0.007740256889911122,0.0057091781166184324,1.3556944690361943,0.30431384631041447,0.00203107877329269,80,27
saudi_arabia,0.006412326139262057,0.004754470317767642,1.348620790524177,0.29908243357514513,0.0016578558214944148,85,22
uae,0.005701202198169693,0.004233272485841368,1.3466781406337958,0.2976409235412723,0.0014679297123283254,88,18
france,0.007270288753015201,0.005457739230846114,1.3320454496024972,0.28671569285927434,0.0018125495221690876,85,24
iceland,0.007369580628637738,0.005633094262730813,1.3082103857213885,0.2686600854535236,0.0017364863659069252,101,9
singapore,0.007587935192696297,0.006047764746729513,1.2546256153869322,0.22683721364642234,0.001540170445966784,94,12
new_zealand,0.006904207052413976,0.005586829794797439,1.2357583008063493,0.21168479040377464,0.0013173772576165364,86,20
panama,0.00733534295037362,0.006110898650740286,1.2003377951113483,0.18260301310753368,0.0012244442996333336,101,8
peru,0.0067748664033844734,0.005651720955231575,1.198691118321245,0.18123022677762665,0.0011231454481528983,112,3
rwanda,0.006674112793441933,0.005666631803055517,1.1777604871656033,0.16361474296558942,0.001007480990386416,68,30
uk,0.007803988976460028,0.006653281634848931,1.1729273578660637,0.15950263925076003,0.001150707341611097,91,14
india,0.006924138284838592,0.005905203064830294,1.1725195034481217,0.1591548552708455,0.0010189352200082975,104,6
serbia,0.008134859621825502,0.007235553427772118,1.124272722232944,0.11713635747884424,0.0008993061940533844,88,17
south_korea,0.007792174405749397,0.006968283090249539,1.1182175131689704,0.11173591141672774,0.0008238913154998582,86,21
netherlands,0.006073667761352989,0.005493488689993854,1.1055929139349605,0.10038176476232144,0.0005801790713591349,114,2
mexico,0.007289952513986287,0.0068863754319488405,1.0585966433839735,0.056944109629972234,0.00040357708203744673,87,19
china,0.007108874813307949,0.006813934116392596,1.0432785837512215,0.04236823886925085,0.00029494069691535316,101,7
mongolia,0.004766258710133329,0.004573644137470214,1.0421048210254078,0.041242534265411024,0.00019261457266311465,67,31
pakistan,0.008504113994914872,0.008198709225847428,1.03724580477863,0.03656893566120513,0.00030540476906744385,106,5
philippines,0.005366330856849091,0.005308833060461414,1.0108285506781414,0.01077034175838913,5.7497796387676395e-05,99,10
canada,0.006775929905426171,0.0067193487620275365,1.008419376047615,0.008384130791629148,5.6581143398634105e-05,83,25
morocco,0.006619341545431408,0.00662555364485313,0.9990625444605663,-0.0009378952256902589,-6.212099421721955e-06,85,23
kazakhstan,0.004778081521408367,0.004810540304261089,0.9932539725742344,-0.006768884724086018,-3.245878285272185e-05,66,32
brazil,0.007758991157438407,0.007853262826131259,0.987997388070691,-0.012075224890910414,-9.42716686928519e-05,122,1
oman,0.007083353361356671,0.007200477465135831,0.9837361007729056,-0.01639760817076309,-0.00011712410377916031,77,29
germany,0.0062995047648795885,0.006520231482364188,0.9661526019921964,-0.0344334841692437,-0.0002207267174845996,78,28
thailand,0.007981676985902865,0.00826306457962918,0.9659504604526044,-0.03464272926000386,-0.00028138759372631564,107,4
indonesia,0.005224904456525797,0.005457235223300966,0.9574348196311953,-0.043497633736665604,-0.00023233076677516874,90,15
vietnam,0.005801310893973958,0.0061363455707527095,0.9454104917319066,-0.05613606302019783,-0.00033503467677875164,90,16
ethiopia,0.006369896192961682,0.007061549758326163,0.902067441783461,-0.10306599255332285,-0.0006916535653644805,98,11
switzerland,0.004906554625986435,0.0055028621820258266,0.8916565247605989,-0.11467428248508835,-0.0005963075560393915,81,26
